Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
5487;16372;"North Carolina Medical Journal";journal;"00292559";0,222;Q4;32;106;313;1647;158;138;0,41;15,54;70,69;0;52;United States;Northern America;"North Carolina Medical Society";"1945-2024";"Medicine (miscellaneous) (Q4)";"Medicine"
5488;21101058433;"Plasmatology";journal;"26348535";0,222;Q4;12;12;28;319;18;26;0,42;26,58;59,65;0;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"2021-2023";"Hematology (Q4)";"Medicine"
5489;17093;"Polski Merkuriusz Lekarski";journal;"14269686";0,222;Q4;23;98;285;2615;258;284;0,58;26,68;60,20;0;37;Poland;Eastern Europe;"Medpress";"1996-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5490;21100264566;"South Asian Journal of Cancer";journal;"22784306, 2278330X";0,222;Q4;25;122;161;2596;103;134;0,55;21,28;40,34;0;103;Germany;Western Europe;"Georg Thieme Verlag";"2012-2023";"Cancer Research (Q4); Oncology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5491;20244;"Ulster Medical Journal";journal;"00416193";0,222;Q4;33;40;149;752;93;102;0,49;18,80;40,00;1;14;United Kingdom;Western Europe;"Ulster Medical Society";"1946-1947, 1950-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5492;20904;"Zhongguo ji sheng chong xue yu ji sheng chong bing za zhi = Chinese journal of parasitology &amp; parasitic diseases";journal;"10007423";0,222;Q4;22;130;255;3546;191;255;0,75;27,28;46,13;0;37;China;Asiatic Region;"National Institute of Parasitic Diseases";"1987-1995, 1998-2016, 2019, 2021-2023";"Infectious Diseases (Q4); Parasitology (Q4); Public Health, Environmental and Occupational Health (Q4)";"Immunology and Microbiology; Medicine"
5493;26563;"Acta Medica Okayama";journal;"0386300X";0,221;Q4;43;88;281;2138;191;281;0,64;24,30;17,61;0;36;Japan;Asiatic Region;"Okayama University";"1972-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5494;5800228216;"Advances in Rehabilitation";journal;"17344948, 08606161";0,221;Q3;8;24;74;970;56;73;0,82;40,42;59,77;0;1;Poland;Eastern Europe;"Termedia Publishing House Ltd.";"2006-2023";"Rehabilitation (Q3)";"Medicine"
5495;12100157014;"Diagnostic Histopathology";journal;"17562317, 18767621";0,221;Q3;28;71;218;2018;142;216;0,54;28,42;47,54;0;43;United Kingdom;Western Europe;"Elsevier B.V.";"2008-2023";"Pathology and Forensic Medicine (Q3); Histology (Q4)";"Medicine"
5496;100156;"European Surgery - Acta Chirurgica Austriaca";journal;"16824016, 16828631";0,221;Q3;24;28;157;790;78;116;0,60;28,21;20,29;0;13;Austria;Western Europe;"Springer Medizin";"1973-1975, 1997-2023";"Surgery (Q3)";"Medicine"
5497;21101082066;"International Journal of Abdominal Wall and Hernia Surgery";journal;"25898078, 25898736";0,221;Q3;5;43;109;1042;75;108;0,62;24,23;22,31;0;2;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2019-2023";"Surgery (Q3)";"Medicine"
5498;21101152613;"Journal of Neurosurgery: Case Lessons";journal;"26941902";0,221;Q3;5;329;557;6779;295;557;0,53;20,60;21,16;0;50;United States;Northern America;"American Association of Neurological Surgeons";"2021-2023";"Surgery (Q3); Neurology (clinical) (Q4)";"Medicine"
5499;21100218021;"Journal of Practice Teaching and Learning";journal;"17466113, 17595150";0,221;Q4;8;30;48;1054;25;41;0,47;35,13;80,88;0;9;United Kingdom;Western Europe;"Whiting and Birch";"2009-2011, 2013-2014, 2017-2023";"Education (Q3); Health (social science) (Q3); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Social Sciences"
5500;28815;"Nurse researcher";journal;"13515578";0,221;Q4;55;18;58;54;50;58;0,86;3,00;79,03;0;7;United Kingdom;Western Europe;"RCN Publishing Company Ltd.";"2001-2023";"Research and Theory (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Nursing"
5501;21100445638;"Perioperative Care and Operating Room Management";journal;"24056030";0,221;Q3;10;60;200;1515;137;191;0,63;25,25;38,86;0;12;United States;Northern America;"Elsevier Inc.";"2015-2023";"Anesthesiology and Pain Medicine (Q3); Critical Care and Intensive Care Medicine (Q3); Medical and Surgical Nursing (Q3); Surgery (Q3)";"Medicine; Nursing"
5502;21101050907;"Revista Bioetica";journal;"19838034, 19838042";0,221;Q4;7;50;215;1734;96;204;0,39;34,68;61,16;0;24;Brazil;Latin America;"Conselho Federal de Medicina";"2019-2023";"Philosophy (Q2); Health (social science) (Q3); Medicine (miscellaneous) (Q4)";"Arts and Humanities; Medicine; Social Sciences"
5503;21101017014;"Russian Journal of Clinical Ophthalmology";journal;"23117729, 26191571";0,221;Q3;4;36;118;972;48;118;0,37;27,00;54,89;0;3;Russian Federation;Eastern Europe;"Medicine-Inform LLC";"2019-2023";"Ophthalmology (Q3)";"Medicine"
5504;5000154608;"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia.";journal;"13192442";0,221;Q3;37;49;583;1150;291;510;0,38;23,47;39,30;0;24;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2006-2022";"Nephrology (Q3); Transplantation (Q3)";"Medicine"
5505;28665;"Zhonghua fu chan ke za zhi";journal;"0529567X";0,221;Q4;23;118;177;2983;140;170;0,44;25,28;35,29;0;42;China;Asiatic Region;"Chinese Medical Association";"1960, 1979-2016, 2020";"Medicine (miscellaneous) (Q4)";"Medicine"
5506;20464;"Angiologiia i sosudistaia khirurgiia = Angiology and vascular surgery";journal;"10276661";0,220;Q4;12;0;183;0;90;183;0,41;0,00;0,00;0;0;Russian Federation;Eastern Europe;"Geotar Media Publishing Group";"2003-2021";"Medicine (miscellaneous) (Q4)";"Medicine"
5507;20470;"Annales de Chirurgie Plastique et Esthetique";journal;"1768319X, 02941260";0,220;Q3;31;83;195;1795;154;180;0,40;21,63;35,71;0;15;France;Western Europe;"Elsevier Masson s.r.l.";"1983-2023";"Surgery (Q3)";"Medicine"
5508;19389;"Archivos Espanoles de Urologia";journal;"15768260, 00040614";0,220;Q3;27;100;429;3058;225;386;0,52;30,58;39,24;0;58;Spain;Western Europe;"Iniestares, S.A.";"1945-1947, 1950-1965, 1973-2023";"Urology (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
5509;21100332425;"Australian Journal of Rehabilitation Counselling";journal;"13238922, 18386059";0,220;Q3;15;0;27;0;22;26;0,90;0,00;0,00;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1995-2021";"Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3)";"Health Professions; Medicine"
5510;145694;"Ethical Human Psychology and Psychiatry";journal;"15594343, 19389000";0,220;Q4;17;13;35;471;18;23;0,40;36,23;41,18;0;2;United States;Northern America;"Springer Publishing Company";"2004-2023";"Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
5511;4700152847;"Journal of Medical Physics";journal;"09716203";0,220;Q4;32;44;135;1153;105;131;0,72;26,20;32,03;0;13;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2006-2023";"Biophysics (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5512;21101072338;"Journal of Qualitative Research in Health Science";journal;"26456109";0,220;Q4;4;26;96;833;73;96;0,81;32,04;60,64;0;9;Iran;Middle East;"Kerman University of Medical Sciences";"2019-2023";"Nursing (miscellaneous) (Q3); Health (social science) (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Nursing; Social Sciences"
5513;4700152462;"Physics of Particles and Nuclei Letters";journal;"15318567, 15474771";0,220;Q4;25;283;372;4346;215;372;0,52;15,36;23,37;0;5;United States;Northern America;"Pleiades Publishing";"2006-2023";"Nuclear and High Energy Physics (Q3); Radiation (Q3); Atomic and Molecular Physics, and Optics (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine; Physics and Astronomy"
5514;21100874322;"Psychiatry and Clinical Psychopharmacology";journal;"24750573, 24750581";0,220;Q3;24;42;171;1534;101;166;0,57;36,52;42,86;0;15;United Kingdom;Western Europe;"AVES Ibrahim KARA";"2017-2023";"Pharmacology (medical) (Q3); Psychiatry and Mental Health (Q4)";"Medicine"
5515;7200153150;"Semergen";journal;"15788865, 11383593";0,220;Q3;15;104;371;1947;241;301;0,55;18,72;43,48;1;37;Spain;Western Europe;"Ediciones Doyma, S.L.";"2003, 2005-2024";"Family Practice (Q3); Public Health, Environmental and Occupational Health (Q4)";"Medicine"
5516;5200152834;"Torture";journal;"10188185, 19973322";0,220;Q3;25;30;100;894;44;70;0,54;29,80;65,75;0;10;Denmark;Western Europe;"International Rehabilitation Council for Torture Victims";"1991-2023";"Rehabilitation (Q3); Clinical Psychology (Q4); Health (social science) (Q4); Psychiatry and Mental Health (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Psychology; Social Sciences"
5517;21100283795;"Urology Case Reports";journal;"22144420";0,220;Q3;15;335;1253;1986;589;1253;0,45;5,93;24,74;0;129;United States;Northern America;"Elsevier Inc.";"2013-2023";"Urology (Q3)";"Medicine"
5518;21100388381;"Aerospace medicine and human performance";journal;"23756322, 23756314";0,219;Q4;82;130;480;2801;310;463;0,56;21,55;27,61;0;9;United States;Northern America;"Aerospace Medical Association";"2015-2023";"Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine"
5519;21101028116;"Asia Pacific Scholar";journal;"24249335, 24249270";0,219;Q3;6;50;146;724;65;124;0,47;14,48;41,96;0;13;Singapore;Asiatic Region;"Centre for Medical Education (CenMed) Yong Loo Lin School of Medicine National University of Singapore";"2019-2023";"Education (Q3); Health Professions (miscellaneous) (Q3); Reviews and References (medical) (Q3); Medicine (miscellaneous) (Q4)";"Health Professions; Medicine; Social Sciences"
5520;21100389723;"Asian Pacific Journal of Reproduction";journal;"23050500, 23050519";0,219;Q3;27;35;123;1401;116;120;0,77;40,03;41,18;0;10;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2012-2023";"Obstetrics and Gynecology (Q3); Reproductive Medicine (Q3); Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences; Medicine; Veterinary"
5521;19700182046;"Case Reports in Gastroenterology";journal;"16620631";0,219;Q3;24;55;354;801;212;351;0,50;14,56;18,45;0;25;Switzerland;Western Europe;"S. Karger AG";"2010-2022";"Gastroenterology (Q3)";"Medicine"
5522;40682;"Chirurgia (Romania)";journal;"12219118, 1842368X";0,219;Q3;26;67;341;2403;213;336;0,63;35,87;35,40;0;38;Romania;Eastern Europe;"Editura Celsius";"1991-1998, 2000-2023";"Surgery (Q3)";"Medicine"
5523;21026;"Cirugia Espanola";journal;"0009739X, 1578147X";0,219;Q3;29;239;577;3370;317;488;0,46;14,10;44,19;0;58;Spain;Western Europe;"Asociacion Espanola de Cirujanos";"1973-1985, 1992, 2001-2023";"Surgery (Q3)";"Medicine"
5524;4700152433;"Current Nutrition and Food Science";journal;"22123881, 15734013";0,219;Q4;32;99;359;7092;370;352;0,97;71,64;47,73;0;46;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2006-2023";"Food Science (Q3); Nutrition and Dietetics (Q3); Public Health, Environmental and Occupational Health (Q4)";"Agricultural and Biological Sciences; Medicine; Nursing"
5525;23459;"Journal of Exercise Physiology Online";journal;"10979751";0,219;Q4;29;48;136;1378;59;136;0,49;28,71;49,55;0;10;United States;Northern America;"American Society of Exercise Physiologists";"1999-2023";"Physiology (medical) (Q4)";"Medicine"
5526;21101092958;"Neurology Perspectives";journal;"26670496";0,219;Q4;6;32;100;906;68;97;0,68;28,31;40,21;0;8;Spain;Western Europe;"Spanish Society of Neurology";"2021-2023";"Neurology (clinical) (Q4)";"Medicine"
5527;21101152612;"Precision Nanomedicine";journal;"26399431";0,219;Q3;6;14;43;1070;42;41;1,13;76,43;37,29;0;5;United States;Northern America;"Andover House, Inc.";"2019-2023";"Biochemistry (medical) (Q3); Pharmaceutical Science (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
5528;21101041508;"Research Journal of Pharmacognosy";journal;"23455977, 23454458";0,219;Q3;5;34;66;1358;66;65;1,00;39,94;43,07;0;13;Iran;Middle East;"Iranian Society of Pharmacognosy";"2020-2023";"Complementary and Alternative Medicine (Q3); Drug Discovery (Q4); Organic Chemistry (Q4)";"Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
5529;21100409314;"World Journal of Acupuncture - Moxibustion";journal;"10035257, 27730751";0,219;Q3;10;61;184;2060;125;184;0,65;33,77;50,17;1;10;Netherlands;Western Europe;"KeAi Communications Co.";"2012-2023";"Complementary and Alternative Medicine (Q3)";"Medicine"
5530;21100838563;"Annals of Applied Sport Science";journal;"24764981, 23224479";0,218;Q3;10;60;154;1922;124;153;0,84;32,03;27,15;0;13;Iran;Middle East;"Asian Exercise and Sport Science Association";"2017-2023";"Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Social Sciences (miscellaneous) (Q3); Applied Psychology (Q4); Tourism, Leisure and Hospitality Management (Q4)";"Business, Management and Accounting; Health Professions; Medicine; Psychology; Social Sciences"
5531;19700188108;"Kardiochirurgia i Torakochirurgia Polska";journal;"17315530";0,218;Q3;17;55;157;1151;68;99;0,38;20,93;26,80;0;15;Poland;Eastern Europe;"Termedia Publishing House Ltd.";"2008-2023";"Surgery (Q3); Cardiology and Cardiovascular Medicine (Q4)";"Medicine"
5532;21101163292;"Northern Clinics of Istanbul";journal;"21484902, 25364553";0,218;Q4;4;117;99;3041;69;96;0,70;25,99;49,89;0;55;Turkey;Middle East;"Kare Publishing";"2022-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5533;52374;"Acta odontologica latinoamericana : AOL";journal;"18524834, 03264815";0,217;Q4;22;23;98;639;73;98;0,71;27,78;66,94;0;3;Argentina;Latin America;"";"1984-1986, 1990, 1993-1994, 1996-2016";"Medicine (miscellaneous) (Q4)";"Medicine"
5534;21101028567;"Case Reports in Obstetrics and Gynecology";journal;"20906692, 20906684";0,217;Q3;9;29;217;495;149;217;0,67;17,07;47,11;0;13;United Kingdom;Western Europe;"Hindawi Limited";"2019-2023";"Obstetrics and Gynecology (Q3)";"Medicine"
5535;144721;"Chinese Journal of Contemporary Pediatrics";journal;"10088830";0,217;Q3;21;200;667;4692;425;663;0,68;23,46;50,33;0;65;China;Asiatic Region;"Central South University";"2005-2023";"Pediatrics, Perinatology and Child Health (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
5536;39363;"Folia Medica";journal;"02048043, 13142143";0,217;Q4;29;140;409;3375;306;409;0,65;24,11;47,40;0;51;Bulgaria;Eastern Europe;"Medical University of Plovdiv";"1961, 1964-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5537;21100912214;"Journal of Chemical Health Risks";journal;"22516719, 22516727";0,217;Q4;10;85;185;3523;172;185;0,89;41,45;37,88;0;30;Iran;Middle East;"Islamic Azad University";"2019-2023";"Chemical Health and Safety (Q4); Environmental Chemistry (Q4); Health, Toxicology and Mutagenesis (Q4); Public Health, Environmental and Occupational Health (Q4)";"Chemical Engineering; Environmental Science; Medicine"
5538;17226;"Journal of Medical Ultrasound";journal;"09296441, 22121552";0,217;Q4;21;81;232;1601;151;154;0,54;19,77;39,37;0;17;Singapore;Asiatic Region;"Wolters Kluwer Medknow Publications";"1994-2023";"Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine"
5539;27798;"Revista Espanola de Medicina Legal";journal;"2173917X, 03774732";0,217;Q3;13;30;91;727;59;84;0,51;24,23;53,85;1;12;Spain;Western Europe;"Ediciones Doyma, S.L.";"1985, 1999, 2008-2023";"Pathology and Forensic Medicine (Q3)";"Medicine"
5540;20397;"Acta Chirurgiae Plasticae";journal;"00015423, 18054404";0,216;Q3;21;19;78;286;24;64;0,27;15,05;10,00;0;2;Czech Republic;Eastern Europe;"Galen Prague";"1959-2023";"Surgery (Q3)";"Medicine"
5541;14863;"Biorheology";journal;"18785034, 0006355X";0,216;Q4;73;4;17;155;16;16;0,22;38,75;25,00;0;0;Netherlands;Western Europe;"IOS Press BV";"1965-2021, 2023";"Physiology (Q4); Physiology (medical) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5542;19900191564;"Journal of International Peacekeeping";journal;"18754104, 18754112";0,216;Q3;14;24;40;1699;29;38;0,87;70,79;60,00;3;11;Netherlands;Western Europe;"Brill Academic Publishers";"1994-1997, 2001, 2004-2006, 2008-2011, 2013-2023";"Law (Q2); Pharmacology (Q3); Pharmacology (medical) (Q3); Political Science and International Relations (Q3); Infectious Diseases (Q4); Virology (Q4)";"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
5543;21101162544;"Neurosurgical Focus: Video";journal;"26435217";0,216;Q3;3;54;180;317;57;165;0,34;5,87;21,78;0;4;United States;Northern America;"American Association of Neurological Surgeons";"2019-2023";"Surgery (Q3); Neurology (Q4)";"Medicine; Neuroscience"
5544;145673;"Annals of African Medicine";journal;"15963519, 09755764";0,215;Q4;33;90;186;2268;126;183;0,57;25,20;34,88;1;50;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2005-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5545;28348;"Gastroenterology Nursing";journal;"1042895X, 15389766";0,215;Q3;36;70;241;1518;139;222;0,57;21,69;63,19;0;13;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1989-2023";"Advanced and Specialized Nursing (Q3); Gastroenterology (Q3); Medicine (miscellaneous) (Q4)";"Medicine; Nursing"
5546;29675;"Meditsina Truda I Promyshlennaya Ekologiya";journal;"26188945, 10269428";0,215;Q4;12;100;370;2880;145;365;0,48;28,80;58,65;1;55;Russian Federation;Eastern Europe;"Izmerov Research Institute of Occupational Medicine";"1965-2016, 2019-2023";"Industrial and Manufacturing Engineering (Q3); Chemical Health and Safety (Q4); Public Health, Environmental and Occupational Health (Q4); Safety, Risk, Reliability and Quality (Q4)";"Chemical Engineering; Engineering; Medicine"
5547;21747;"Pirogov Russian Journal of Surgery";journal;"00231207, 23095628";0,215;Q3;13;197;609;4410;243;604;0,34;22,39;31,30;0;62;Russian Federation;Eastern Europe;"Media Sphera Publishers";"1945-2023";"Surgery (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
5548;21100469656;"Radiation and Risk";journal;"2412950X, 01313878";0,215;Q4;9;50;145;1091;52;143;0,42;21,82;53,79;0;26;Russian Federation;Eastern Europe;"National Medical Research Radiological Centre of the Ministry of Health of the Russian Federation";"2016-2023";"Radiation (Q3); Nuclear and High Energy Physics (Q4); Public Health, Environmental and Occupational Health (Q4); Radiology, Nuclear Medicine and Imaging (Q4)";"Medicine; Physics and Astronomy"
5549;21100239409;"Revista Ambiente e Agua";journal;"1980993X";0,215;Q4;21;38;237;1614;196;235;0,75;42,47;40,30;0;27;Brazil;Latin America;"Instituto de Pesquisas Ambientais em Bacias Hidrograficas (IPABHi)";"2013-2023";"Environmental Science (miscellaneous) (Q3); Aquatic Science (Q4); Public Health, Environmental and Occupational Health (Q4)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
5550;18259;"Revista Medica de Chile";journal;"07176163, 00349887";0,215;Q4;47;48;773;1315;453;629;0,45;27,40;44,59;0;23;Chile;Latin America;"Sociedad Medica de Santiago";"1945-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5551;17593;"Advances and technical standards in neurosurgery";journal;"00954829";0,214;Q4;31;14;30;0;19;30;0,63;0,00;18,75;0;1;Germany;Western Europe;"Springer Verlag";"1984-1988, 1990-1995, 1997-2000, 2002-2012, 2014-2016, 2022-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5552;21101138001;"Analytical Chemistry Letters";journal;"22307532, 22297928";0,214;Q4;17;47;178;1724;260;178;1,21;36,68;36,31;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Chemistry (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Pathology and Forensic Medicine (Q4)";"Chemistry; Materials Science; Medicine"
5553;21100211330;"Diabetes Mellitus";journal;"20720351, 20720378";0,214;Q3;19;63;175;2047;234;175;1,48;32,49;67,67;0;62;Russian Federation;Eastern Europe;"UP Print LLC";"2012-2023";"Internal Medicine (Q3); Endocrinology (Q4); Endocrinology, Diabetes and Metabolism (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
5554;21101133341;"International Journal of Systemic Therapy";journal;"2692398X, 26923998";0,214;Q4;21;24;37;1131;33;36;0,61;47,13;77,78;0;4;United States;Northern America;"Routledge";"2021-2023";"Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
5555;16433;"Journal of the History of Medicine and Allied Sciences";journal;"14684373, 00225045";0,214;Q4;33;25;53;1566;42;50;0,81;62,64;42,86;0;9;United Kingdom;Western Europe;"Oxford University Press";"1946-2023";"History (Q1); Geriatrics and Gerontology (Q4)";"Arts and Humanities; Medicine"
5556;21101044917;"Minerva Surgery";journal;"27245438, 27245691";0,214;Q3;28;169;339;3323;267;202;0,90;19,66;37,61;0;53;Italy;Western Europe;"Edizioni Minerva Medica S.p.A.";"2021-2023";"Surgery (Q3)";"Medicine"
5557;10600153369;"Nan fang yi ke da xue xue bao = Journal of Southern Medical University";journal;"16734254";0,214;Q4;24;258;815;7753;585;815;0,64;30,05;47,32;0;109;China;Asiatic Region;"Nanfang Yi Ke Da Xue Xue Bao Bian ji Bu";"2006-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5558;17492;"Neuroendocrinology Letters";journal;"0172780X";0,214;Q4;72;58;149;165;98;147;0,48;2,84;43,16;0;20;Sweden;Western Europe;"Maghira and Maas Publications";"1979-1982, 1984-1995, 1997-2023";"Endocrine and Autonomic Systems (Q4); Endocrinology (Q4); Endocrinology, Diabetes and Metabolism (Q4); Medicine (miscellaneous) (Q4); Neurology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
5559;16438;"Orvosi Hetilap";journal;"00306002, 17886120";0,214;Q4;25;275;847;7245;562;828;0,76;26,35;41,13;0;118;Hungary;Eastern Europe;"Akademiai Kiado";"1949-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5560;11100153303;"American journal of disaster medicine";journal;"1932149X";0,213;Q4;24;7;93;0;50;93;0,43;0,00;34,04;0;3;United States;Northern America;"Prime National Publishing Corp.";"2006-2022";"Medicine (miscellaneous) (Q4)";"Medicine"
5561;21100945755;"Archives of psychiatry research";journal;"26711079, 26712008";0,213;Q4;10;45;68;1238;44;62;0,43;27,51;56,20;0;13;Croatia;Eastern Europe;"University Hospital Center Sestre milosrdnice";"2019-2023";"Clinical Psychology (Q4); Health (social science) (Q4); Medicine (miscellaneous) (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology; Social Sciences"
5562;13771;"Ceska a Slovenska Oftalmologie";journal;"12119059";0,213;Q3;12;42;139;886;73;136;0,47;21,10;44,94;0;7;Czech Republic;Eastern Europe;"Czech Medical Association J.E. Purkyne";"1950-2023";"Ophthalmology (Q3)";"Medicine"
5563;19700188334;"Clinical and Experimental Neuroimmunology";journal;"17591961";0,213;Q4;21;36;155;1137;97;129;0,69;31,58;22,82;0;8;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2023";"Immunology (Q4); Immunology and Microbiology (miscellaneous)  (Q4); Neurology (clinical) (Q4); Neuroscience (miscellaneous) (Q4)";"Immunology and Microbiology; Medicine; Neuroscience"
5564;56321;"European Journal of Inflammation";journal;"20587392, 1721727X";0,213;Q4;23;64;274;2363;170;256;0,61;36,92;45,02;0;24;United States;Northern America;"SAGE Publications Inc.";"2004-2023";"Immunology (Q4); Immunology and Allergy (Q4)";"Immunology and Microbiology; Medicine"
5565;19700175063;"European Journal of Mental Health";journal;"17887119, 17884934";0,213;Q4;11;14;55;881;30;53;0,49;62,93;60,00;0;4;Hungary;Eastern Europe;"Semmelweis University Institute of Mental Health";"2008-2023";"Health (social science) (Q4); Psychiatry and Mental Health (Q4); Psychology (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine; Psychology; Social Sciences"
5566;23368;"Journal of Environmental Health";journal;"00220892";0,213;Q4;40;75;225;1006;69;132;0,34;13,41;55,15;0;37;United States;Northern America;"National Environmental Health Association";"1973-2023";"Health, Toxicology and Mutagenesis (Q4); Management, Monitoring, Policy and Law (Q4); Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Environmental Science; Medicine"
5567;18367;"Medicina";journal;"16699106, 00257680";0,213;Q4;35;244;633;3627;313;471;0,41;14,86;49,35;0;94;Argentina;Latin America;"";"1945-2023";"Medicine (miscellaneous) (Q4)";"Medicine"
5568;21101059713;"Annals of Hepato-Biliary-Pancreatic Surgery";journal;"25085859, 25085778";0,212;Q3;9;58;495;1627;153;301;0,31;28,05;28,95;0;24;South Korea;Asiatic Region;"Korean Association of Hepato-Biliary-Pancreatic Surgery";"2019, 2021-2023";"Gastroenterology (Q3); Surgery (Q3); Transplantation (Q3); Hepatology (Q4)";"Medicine"
5569;5800173397;"Body, Movement and Dance in Psychotherapy";journal;"17432979";0,212;Q4;18;33;73;1202;48;56;0,67;36,42;83,67;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2023";"Clinical Psychology (Q4); Psychiatry and Mental Health (Q4)";"Medicine; Psychology"
5570;21100203318;"Cardiovascular Therapy and Prevention (Russian Federation)";journal;"17288800";0,212;Q4;25;246;521;5580;512;507;1,06;22,68;67,68;0;140;Russian Federation;Eastern Europe;"Vserossiiskoe Obshchestvo Kardiologov";"2011-2023";"Education (Q3); Cardiology and Cardiovascular Medicine (Q4)";"Medicine; Social Sciences"
5571;21100901466;"Case Reports in Psychiatry";journal;"2090682X, 20906838";0,212;Q4;8;44;158;1014;108;158;0,63;23,05;43,62;0;15;Egypt;Africa/Middle East;"Hindawi Limited";"2018-2023";"Psychiatry and Mental Health (Q4)";"Medicine"
5572;21101060309;"Chronobiology in Medicine";journal;"26359162";0,212;Q4;6;32;98;1235;51;94;0,42;38,59;48,96;0;4;South Korea;Asiatic Region;"Korean Academy of Sleep Medicine";"2019-2023";"Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Physiology (Q4); Physiology (medical) (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
5573;21591;"Handchirurgie Mikrochirurgie Plastische Chirurgie";journal;"07221819, 14393980";0,212;Q3;33;66;281;1150;96;247;0,21;17,42;24,11;0;6;Germany;Western Europe;"Georg Thieme Verlag";"1982-2023";"Surgery (Q3); Orthopedics and Sports Medicine (Q4)";"Medicine"
5574;145442;"Journal of Indian Association of Pediatric Surgeons";journal;"09719261, 19983891";0,212;Q3;22;88;412;1123;161;334;0,35;12,76;37,02;0;13;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2002, 2005-2023";"Pediatrics, Perinatology and Child Health (Q3); Surgery (Q3)";"Medicine"
